agg_mse,agg_time,coverage_util,crb,energy,fairness_util,latency,learning_util,method,probe_time,round,round_time,select_time,selected,sensing_logdet,test_acc,test_loss,train_loss,train_time
0.042725,0.0004,3.4698,2.36818,0.4451,0.0,0.0741,7.8219,scout_greedy,0.0889,0,0.0984,0.00022,"[0, 8, 9]",54.5156,0.351,1.9595,1.80798,0.0089
0.034696,0.00035,1.4718,2.12592,0.4438,1.3863,0.0683,7.6778,scout_greedy,0.0059,1,0.012,0.00018,"[3, 7, 9]",53.8204,0.369,2.00778,1.55293,0.0055
0.042725,0.00032,0.4557,10.34209,0.4497,0.6931,0.0741,7.9169,scout_greedy,0.0064,2,0.0135,0.00018,"[3, 8, 9]",52.1758,0.424,1.51833,1.23083,0.0065
0.463087,0.00032,2.413,1.90188,0.8239,0.0,0.3423,7.4166,random,0.0062,0,0.0148,3e-05,"[5, 6, 9]",49.8714,0.319,2.14551,1.82661,0.0082
0.042725,0.00049,1.9872,2.36818,0.4451,1.3863,0.0741,8.4272,random,0.0062,1,0.014,2e-05,"[0, 8, 9]",54.5156,0.454,1.60047,1.77904,0.0072
0.18279,0.00035,0.3895,1.92251,0.5557,0.6931,0.166,7.8036,random,0.0067,2,0.0138,3e-05,"[5, 8, 9]",51.8748,0.473,1.52457,1.42171,0.0068
0.5817,0.00037,2.5641,2.25207,0.8562,0.0,0.4165,7.3302,loss,0.0064,0,0.0125,0.0003,"[1, 4, 7]",52.202,0.297,2.5585,2.04831,0.0054
0.18279,0.00034,1.7869,2.43009,0.6366,2.0794,0.166,7.7916,loss,0.0062,1,0.0137,1e-05,"[2, 5, 9]",49.9487,0.413,1.89397,2.3501,0.0072
0.463087,0.00045,0.629,2.9683,0.7878,2.8904,0.3423,7.5116,loss,0.0061,2,0.013,1e-05,"[4, 6, 8]",49.9456,0.362,1.8623,1.82061,0.0065
0.5817,0.00036,3.0996,1.3054,0.8019,0.0,0.4165,7.4364,snr_only,0.0071,0,0.0158,1e-05,"[0, 1, 3]",56.8425,0.345,2.22809,1.77305,0.0083
0.5817,0.0004,1.3291,1.3054,0.8019,0.0,0.4165,7.7278,snr_only,0.0078,1,0.0176,1e-05,"[0, 1, 3]",56.8425,0.517,1.67727,1.079,0.0094
0.5817,0.00033,0.2596,1.3054,0.8019,0.0,0.4165,7.747,snr_only,0.0069,2,0.0151,1e-05,"[0, 1, 3]",56.8425,0.587,1.60288,0.70623,0.0079
