agg_mse,coverage_util,crb,energy,fairness_util,latency,method,round,sensing_logdet
0.042725,3.4698,2.36818,0.4451,0.0,0.0741,scout_greedy,0,54.5156
0.034696,1.4718,2.12592,0.4438,1.3863,0.0683,scout_greedy,1,53.8204
0.042725,0.4557,10.34209,0.4497,0.6931,0.0741,scout_greedy,2,52.1758
0.463087,2.413,1.90188,0.8239,0.0,0.3423,random,0,49.8714
0.042725,1.9872,2.36818,0.4451,1.3863,0.0741,random,1,54.5156
0.18279,0.3895,1.92251,0.5557,0.6931,0.166,random,2,51.8748
0.5817,2.5641,2.25207,0.8562,0.0,0.4165,loss,0,52.202
0.18279,1.7869,2.43009,0.6366,2.0794,0.166,loss,1,49.9487
0.463087,0.629,2.9683,0.7878,2.8904,0.3423,loss,2,49.9456
0.5817,3.0996,1.3054,0.8019,0.0,0.4165,snr_only,0,56.8425
0.5817,1.3291,1.3054,0.8019,0.0,0.4165,snr_only,1,56.8425
0.5817,0.2596,1.3054,0.8019,0.0,0.4165,snr_only,2,56.8425
