coverage_val,crb_sum,logdet,max_uncertainty,mean_uncertainty,round,select_ms,selector
7.5185,0.0,157.274,0.0,0.0,0,1.1212,scout
0.0,0.0,153.664,0.0,0.0,1,0.8694,scout
0.0,0.0,154.3291,0.0,0.0,2,0.8336,scout
0.0,0.0,153.4509,0.0,0.0,3,0.8324,scout
0.0,0.0,154.8582,0.0,0.0,4,0.8088,scout
0.0,0.0,154.0057,0.0,0.0,5,0.8211,scout
0.0,0.0,154.4772,0.0,0.0,6,0.7978,scout
0.0,0.0,153.664,0.0,0.0,7,0.8078,scout
0.0,0.0,154.9595,0.0,0.0,8,0.821,scout
0.0,0.0,153.225,0.0,0.0,9,0.8093,scout
0.0,0.0,153.8883,0.0,0.0,10,0.8106,scout
0.0,0.0,153.0079,0.0,0.0,11,0.8927,scout
0.0,0.0,153.9652,0.0,0.0,12,0.8238,scout
0.0,0.0,154.2053,0.0,0.0,13,0.7883,scout
0.0,0.0,154.8148,0.0,0.0,14,0.8108,scout
0.0,0.0,153.1425,0.0,0.0,15,0.8373,scout
0.0,0.0,154.5625,0.0,0.0,16,0.8052,scout
0.0,0.0,153.0093,0.0,0.0,17,0.8221,scout
0.0,0.0,154.3291,0.0,0.0,18,0.9471,scout
0.0,0.0,154.2053,0.0,0.0,19,0.8476,scout
0.0,0.0,153.9652,0.0,0.0,20,0.8249,scout
0.0,0.0,152.8334,0.0,0.0,21,0.8674,scout
0.0,0.0,153.8822,0.0,0.0,22,0.918,scout
0.0,0.0,153.9357,0.0,0.0,23,0.8124,scout
0.0,0.0,154.3291,0.0,0.0,24,0.8095,scout
0.0,0.0,153.0781,0.0,0.0,25,0.801,scout
0.0,0.0,153.6667,0.0,0.0,26,0.9185,scout
0.0,0.0,154.0057,0.0,0.0,27,0.8872,scout
0.0,0.0,153.8817,0.0,0.0,28,0.8388,scout
0.0,0.0,152.8334,0.0,0.0,29,0.8636,scout
0.0,0.0,154.3291,0.0,0.0,30,0.8252,scout
